review_text,tags,reviewer_score,lr_sentiment_label,lr_sentiment_score,lr_sentiment_confidence
"I cannot recommend this place. Our room was stifling because the AC was completely broken, and when we complained to the front desk, the staff was not pleasant at all and made us feel like a burden. To make matters worse, the pool was out of commission during our entire stay, and the room service food arrived stone cold. A very disappointing experience.",leisure trip,1.0,Negative,18.0,82.0
"The location is great, but the execution is lacking. The AC in our room rattled all night, and we had to call three times just to get a simple towel. The staff was not pleasant or helpful when we asked about the pool issue; it seems they were avoiding questions. Also, the breakfast buffet was terrible as the food was served very cold despite it being 'hot' dishes.",location great execution lack ac room rattl night call three tim get simple towel staff pleasant helpful ask about pool issue seem avoid question breakfast buffet terrible food serv cold despite hot dish,2.0,Negative,82.0,18.0
"Despite some hiccups, I would say the stay was very good and good overall. The hotel has a nice vibe, though there are areas needing improvement. The AC was weak, and unfortunately, we couldn't use the pool due to maintenance. The staff were professional, though I wouldn't call them overly friendly. The food was served cold on one occasion, which was a letdown.",leisure trip,1.0,Negative,82.0,18.0
"It’s a shame, because the property itself is lovely, but the management is failing. The AC was malfunctioning, and the staff was not pleasant when we requested a room change. We were particularly disappointed that the pool was closed for repairs without any prior notice. Even our room service food was very cold when it arrived. I expected much better for the price.",leisure trip,1.0,Negative,18.0,82.0
"I’m really torn on this one. On one hand, the general atmosphere was relaxing and the stay was very good and good for the price we paid. However, the negatives were hard to ignore: the AC was inconsistent, the staff was not pleasant to interact with, the pool was unusable, and the food was very cold. With some better management, this could be a great hotel.",leisure trip,1.0,Negative,82.0,18.0
"Our stay was absolutely fantastic from start to finish. The room was perfectly climate-controlled with a very quiet and efficient AC, ensuring a great night's sleep. The staff were incredibly welcoming, proactive, and went out of their way to make us feel at home. We spent hours enjoying the pristine pool, which was impeccably maintained. To top it off, every meal we had—from room service to the restaurant—was delicious, fresh, and served piping hot. We couldn’t have asked for a better experience and will definitely be returning!""",stay absolutely fantastic start finish room perfectly climate controll quiet efficient ac ensur great night sleep staff incredibly welcom proactive went out way make feel home spent hour enjoy pristine pool impeccably maintain top off meal service restaurant deliciou fresh serv pip hot couldn ask better experience definitely return,5.0,Positive,82.0,82.0
my experience was very good and perfect the staff of realluy friendly,experience good perfect staff realluy friendly,5.0,Positive,82.0,82.0
wrfgwrgergearg ddfbeat ebe etbe er ee er,leisure trip,5.0,Positive,82.0,82.0
kasbhkbsab jskl jas hsad ljhasdlashdlhasdl,leisure trip,4.0,Positive,82.0,82.0
ewfef fewefwr rfre  re ree rr,leisure trip,1.0,Negative,82.0,18.0
